"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2751","[LOGIN] - Verify that user can not login with both an invalid username and an invalid password.","chromium","Sat Aug 30 06:18:10 UTC 2025","passed","Sat Aug 30 06:18:13 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","2177","[LOGIN] - Verify user can not login with invalid username and valid password.","webkit","Sat Aug 30 06:18:24 UTC 2025","passed","Sat Aug 30 06:18:26 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","2181","[LOGIN] - Verify that user can not login with both an invalid username and an invalid password.","firefox","Sat Aug 30 06:18:17 UTC 2025","passed","Sat Aug 30 06:18:19 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","3024","[LOGIN] - Verify user can not login with valid username but invalid password.","webkit","Sat Aug 30 06:18:22 UTC 2025","passed","Sat Aug 30 06:18:25 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","2760","Verify Orange HRM logo and the left hand navigation panel should be displayed correctly.","firefox","Sat Aug 30 06:18:14 UTC 2025","passed","Sat Aug 30 06:18:17 UTC 2025","","left-navigation-module.spec.ts","",""
"","2673","Verify Orange HRM logo and the left hand navigation panel should be displayed correctly.","webkit","Sat Aug 30 06:18:21 UTC 2025","passed","Sat Aug 30 06:18:24 UTC 2025","","left-navigation-module.spec.ts","",""
"","6847","[PIM] - Verify new employee is added successfully under the PIM module","webkit","Sat Aug 30 06:18:26 UTC 2025","passed","Sat Aug 30 06:18:33 UTC 2025","","pim-module.spec.ts","",""
"","2627","[LOGIN] - Verify user can not login with invalid username and valid password.","chromium","Sat Aug 30 06:18:10 UTC 2025","passed","Sat Aug 30 06:18:13 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","9200","[PIM] - Verify new employee is added successfully under the PIM module","chromium","Sat Aug 30 06:18:13 UTC 2025","passed","Sat Aug 30 06:18:22 UTC 2025","","pim-module.spec.ts","",""
"","2931","[LOGIN] - Verify user can not login with valid username but invalid password.","firefox","Sat Aug 30 06:18:15 UTC 2025","passed","Sat Aug 30 06:18:17 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","2991","[LOGIN] - Verify that user can login with valid username and password.","webkit","Sat Aug 30 06:18:25 UTC 2025","passed","Sat Aug 30 06:18:28 UTC 2025","","login-module.spec.ts","",""
"","2149","[LOGIN] - Verify user can not login with invalid username and valid password.","firefox","Sat Aug 30 06:18:17 UTC 2025","passed","Sat Aug 30 06:18:19 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","7881","[PIM] - Verify new employee is added successfully under the PIM module","firefox","Sat Aug 30 06:18:19 UTC 2025","passed","Sat Aug 30 06:18:27 UTC 2025","","pim-module.spec.ts","",""
"","2697","[LOGIN] - Verify that user can login with valid username and password.","firefox","Sat Aug 30 06:18:18 UTC 2025","passed","Sat Aug 30 06:18:20 UTC 2025","","login-module.spec.ts","",""
"","2995","[LOGIN] - Verify user can not login with valid username but invalid password.","chromium","Sat Aug 30 06:18:10 UTC 2025","passed","Sat Aug 30 06:18:13 UTC 2025","Invalid login tests","login-module.spec.ts","",""
"","2036","Global setup for saving login authentication state","Setup","Sat Aug 30 06:18:07 UTC 2025","passed","Sat Aug 30 06:18:09 UTC 2025","","global.setup.ts","",""
"","2856","Verify Orange HRM logo and the left hand navigation panel should be displayed correctly.","chromium","Sat Aug 30 06:18:10 UTC 2025","passed","Sat Aug 30 06:18:13 UTC 2025","","left-navigation-module.spec.ts","",""
"","2693","[LOGIN] - Verify that user can login with valid username and password.","chromium","Sat Aug 30 06:18:13 UTC 2025","passed","Sat Aug 30 06:18:16 UTC 2025","","login-module.spec.ts","",""
"","2152","[LOGIN] - Verify that user can not login with both an invalid username and an invalid password.","webkit","Sat Aug 30 06:18:24 UTC 2025","passed","Sat Aug 30 06:18:26 UTC 2025","Invalid login tests","login-module.spec.ts","",""
